ResultId,Drivers points,Qualifying position,Result_Race-1,Total gained/lost positions,Index DNF/Driver,Average Lost laps
23605.0,10.545454545454543,4.0,2.0,-35.0,0.4499999999999999,0.0
23606.0,15.363636363636363,3.0,3.0,-10.0,0.15,0.0
23607.0,2.363636363636364,7.0,17.0,-20.0,0.8999999999999999,0.3636363636363636
23608.0,1.6363636363636365,12.0,19.0,-2.0,0.4499999999999999,0.4545454545454545
23609.0,2.090909090909091,16.0,10.0,-14.0,0.3157894736842105,0.5454545454545454
23610.0,4.090909090909091,9.0,9.0,31.0,0.15,0.5454545454545454
23611.0,3.1818181818181817,14.0,7.0,2.0,1.2000000000000002,0.3636363636363636
23612.0,1.6363636363636365,18.0,14.0,16.0,0.6000000000000001,0.6363636363636364
23613.0,0.3636363636363636,17.0,11.0,-18.0,0.8,0.8181818181818182
23614.0,0.0,10.0,12.0,7.0,0.9375,0.6363636363636364
23615.0,0.0909090909090909,15.0,10.0,7.0,0.8999999999999999,0.6363636363636364
23616.0,1.0,13.0,13.0,19.0,0.75,0.6363636363636364
23617.0,0.0,19.0,16.0,33.0,0.8999999999999999,0.9090909090909092
23618.0,5.090909090909091,8.0,8.0,10.0,0.15,0.5454545454545454
23619.0,0.9090909090909092,11.0,6.0,-12.0,1.1052631578947367,0.1818181818181818
23620.0,6.090909090909091,5.0,5.0,-53.0,1.0499999999999998,0.0
23621.0,0.4545454545454545,20.0,15.0,27.0,0.5,0.9090909090909092
23622.0,17.75,1.0,1.0,5.0,0.0,0.0
23623.0,14.916666666666666,6.0,5.0,-12.0,0.1,0.0
23624.0,18.33333333333333,8.0,2.0,-3.0,0.2,0.0
23625.0,11.0,3.0,3.0,13.0,0.6,0.0
23626.0,10.666666666666666,7.0,4.0,-35.0,0.3,0.0
23627.0,3.9166666666666665,5.0,9.0,31.0,0.1,0.5
23628.0,1.5,4.0,11.0,20.0,0.4,0.5833333333333334
23629.0,2.25,9.0,8.0,-6.0,0.2105263157894736,0.5
23630.0,4.666666666666667,11.0,17.0,1.0,0.1,0.5
23631.0,5.583333333333333,2.0,19.0,-67.0,0.7,0.0
23632.0,0.9166666666666666,16.0,15.0,16.0,0.5,0.5833333333333334
23633.0,0.3333333333333333,14.0,12.0,-11.0,0.5333333333333333,0.75
23634.0,2.833333333333333,12.0,6.0,-19.0,0.6,0.3333333333333333
23635.0,3.0,15.0,10.0,5.0,0.8,0.3333333333333333
23636.0,2.0,20.0,7.0,2.0,0.3,0.4166666666666667
